SA2_MAIN16,Year
101021007,2011
101021008,2011
101021009,2011
101021010,2011
101021011,2011
101021012,2011
101031013,2011
101031014,2011
101031015,2011
101031016,2011
101041017,2011
101041018,2011
101041019,2011
101041020,2011
101041021,2011
101041022,2011
101041023,2011
101041024,2011
101041025,2011
101041026,2011
101041027,2011
101051539,2011
101051540,2011
101061541,2011
101061542,2011
101061543,2011
101061544,2011
102011028,2011
102011029,2011
102011030,2011
102011031,2011
102011032,2011
102011033,2011
102011034,2011
102011035,2011
102011036,2011
102011037,2011
102011038,2011
102011039,2011
102011040,2011
102011041,2011
102011042,2011
102011043,2011
102021044,2011
102021045,2011
102021046,2011
102021047,2011
102021048,2011
102021049,2011
102021050,2011
102021051,2011
102021052,2011
102021053,2011
102021054,2011
102021055,2011
102021056,2011
102021057,2011
103011058,2011
103011059,2011
103011060,2011
103011061,2011
103021062,2011
103021063,2011
103021064,2011
103021065,2011
103021066,2011
103021067,2011
103021068,2011
103021069,2011
103031070,2011
103031071,2011
103031072,2011
103031073,2011
103031074,2011
103031075,2011
103041076,2011
103041077,2011
103041078,2011
103041079,2011
104011080,2011
104011081,2011
104011082,2011
104021083,2011
104021084,2011
104021085,2011
104021086,2011
104021087,2011
104021088,2011
104021089,2011
104021090,2011
104021091,2011
105011092,2011
105011093,2011
105011094,2011
105011095,2011
105011096,2011
105021097,2011
105021098,2011
105031099,2011
105031100,2011
105031101,2011
105031102,2011
105031103,2011
105031104,2011
105031105,2011
105031106,2011
106011107,2011
106011108,2011
106011109,2011
106011110,2011
106011111,2011
106011112,2011
106011113,2011
106021114,2011
106021115,2011
106021116,2011
106021117,2011
106021118,2011
106031119,2011
106031120,2011
106031121,2011
106031122,2011
106031123,2011
106031124,2011
106031125,2011
106041126,2011
106041127,2011
106041128,2011
106041129,2011
107011131,2011
107011132,2011
107011133,2011
107011134,2011
107011545,2011
107011546,2011
107011547,2011
107021135,2011
107031136,2011
107031137,2011
107031138,2011
107031139,2011
107031140,2011
107031141,2011
107031142,2011
107031143,2011
107041144,2011
107041145,2011
107041146,2011
107041147,2011
107041148,2011
107041150,2011
107041548,2011
107041549,2011
108011151,2011
108011152,2011
108011153,2011
108011154,2011
108021155,2011
108021156,2011
108021157,2011
108021158,2011
108021159,2011
108021160,2011
108031161,2011
108041162,2011
108041163,2011
108041164,2011
108041165,2011
108041166,2011
108051167,2011
108051168,2011
108051169,2011
108051170,2011
108051171,2011
109011172,2011
109011173,2011
109011174,2011
109011175,2011
109011176,2011
109021177,2011
109021178,2011
109021179,2011
109031180,2011
109031181,2011
109031182,2011
109031183,2011
109031184,2011
109031185,2011
110011186,2011
110011187,2011
110011188,2011
110011189,2011
110021190,2011
110021191,2011
110021192,2011
110021193,2011
110021194,2011
110031195,2011
110031196,2011
110031197,2011
110031198,2011
110041199,2011
110041200,2011
110041201,2011
110041202,2011
110041203,2011
110041204,2011
110041205,2011
111011206,2011
111011207,2011
111011208,2011
111011209,2011
111011210,2011
111011211,2011
111011212,2011
111011213,2011
111011214,2011
111021215,2011
111021216,2011
111021217,2011
111021218,2011
111021219,2011
111021220,2011
111021221,2011
111031222,2011
111031223,2011
111031224,2011
111031225,2011
111031226,2011
111031227,2011
111031228,2011
111031229,2011
111031230,2011
111031231,2011
111031232,2011
111031233,2011
111031234,2011
111031235,2011
112011236,2011
112011237,2011
112011238,2011
112011239,2011
112011240,2011
112011241,2011
112011242,2011
112011243,2011
112021244,2011
112021245,2011
112021246,2011
112021247,2011
112021248,2011
112021249,2011
112031250,2011
112031251,2011
112031252,2011
112031253,2011
112031254,2011
112031550,2011
112031551,2011
112031552,2011
113011256,2011
113011257,2011
113011258,2011
113011259,2011
113021260,2011
113021261,2011
113021262,2011
113031263,2011
113031264,2011
113031265,2011
113031266,2011
113031267,2011
113031268,2011
113031269,2011
113031270,2011
113031271,2011
114011272,2011
114011273,2011
114011274,2011
114011275,2011
114011276,2011
114011277,2011
114011278,2011
114011279,2011
114011280,2011
114011281,2011
114011282,2011
114011283,2011
114021284,2011
114021285,2011
114021286,2011
114021287,2011
114021288,2011
114021289,2011
115011290,2011
115011291,2011
115011294,2011
115011296,2011
115011553,2011
115011554,2011
115011555,2011
115011556,2011
115011557,2011
115011558,2011
115011559,2011
115021297,2011
115021298,2011
115031299,2011
115031300,2011
115041301,2011
115041302,2011
116011303,2011
116011304,2011
116011306,2011
116011307,2011
116011308,2011
116011560,2011
116011561,2011
116021309,2011
116021310,2011
116021312,2011
116021562,2011
116021563,2011
116031313,2011
116031314,2011
116031315,2011
116031316,2011
116031317,2011
116031318,2011
116031319,2011
117011320,2011
117011321,2011
117011322,2011
117011323,2011
117011324,2011
117011325,2011
117021326,2011
117021327,2011
117021328,2011
117031329,2011
117031330,2011
117031331,2011
117031332,2011
117031333,2011
117031334,2011
117031335,2011
117031336,2011
117031337,2011
117031338,2011
118011339,2011
118011340,2011
118011341,2011
118011342,2011
118011343,2011
118011344,2011
118011345,2011
118011346,2011
118011347,2011
118021348,2011
118021350,2011
118021564,2011
118021565,2011
118021566,2011
118021567,2011
118021568,2011
118021569,2011
118021570,2011
119011354,2011
119011355,2011
119011356,2011
119011357,2011
119011358,2011
119011359,2011
119011360,2011
119011361,2011
119011571,2011
119011572,2011
119021362,2011
119021363,2011
119021364,2011
119021366,2011
119021367,2011
119021573,2011
119021574,2011
119031368,2011
119031369,2011
119031370,2011
119031371,2011
119031372,2011
119031373,2011
119031374,2011
119041375,2011
119041376,2011
119041377,2011
119041378,2011
119041379,2011
119041380,2011
119041381,2011
119041382,2011
120011383,2011
120011384,2011
120011385,2011
120011386,2011
120021387,2011
120021388,2011
120021389,2011
120031390,2011
120031391,2011
120031392,2011
120031393,2011
120031394,2011
120031395,2011
120031396,2011
120031575,2011
120031576,2011
121011398,2011
121011399,2011
121011400,2011
121011401,2011
121011402,2011
121021403,2011
121021404,2011
121021406,2011
121021577,2011
121021578,2011
121021579,2011
121031407,2011
121031408,2011
121031409,2011
121031410,2011
121031411,2011
121031412,2011
121041413,2011
121041414,2011
121041415,2011
121041416,2011
121041417,2011
122011418,2011
122011419,2011
122021420,2011
122021421,2011
122021422,2011
122021423,2011
122031424,2011
122031425,2011
122031426,2011
122031427,2011
122031428,2011
122031429,2011
122031430,2011
122031431,2011
122031432,2011
123011433,2011
123011434,2011
123011435,2011
123021436,2011
123021437,2011
123021438,2011
123021439,2011
123021440,2011
123021441,2011
123021442,2011
123021443,2011
123021444,2011
123031445,2011
123031446,2011
123031447,2011
123031448,2011
124011449,2011
124011450,2011
124011451,2011
124011452,2011
124011453,2011
124011454,2011
124011455,2011
124021456,2011
124031457,2011
124031458,2011
124031459,2011
124031460,2011
