SA3_CODE16,Year
10102,2011
10103,2011
10104,2011
10105,2011
10106,2011
10201,2011
10202,2011
10301,2011
10302,2011
10303,2011
10304,2011
10401,2011
10402,2011
10501,2011
10502,2011
10503,2011
10601,2011
10602,2011
10603,2011
10604,2011
10701,2011
10702,2011
10703,2011
10704,2011
10801,2011
10802,2011
10803,2011
10804,2011
10805,2011
10901,2011
10902,2011
10903,2011
11001,2011
11002,2011
11003,2011
11004,2011
11101,2011
11102,2011
11103,2011
11201,2011
11202,2011
11203,2011
11301,2011
11302,2011
11303,2011
11401,2011
11402,2011
11501,2011
11502,2011
11503,2011
11504,2011
11601,2011
11602,2011
11603,2011
11701,2011
11702,2011
11703,2011
11801,2011
11802,2011
11901,2011
11902,2011
11903,2011
11904,2011
12001,2011
12002,2011
12003,2011
12101,2011
12102,2011
12103,2011
12104,2011
12201,2011
12202,2011
12203,2011
12301,2011
12302,2011
12303,2011
12401,2011
12402,2011
12403,2011
12404,2011
12405,2011
12501,2011
12502,2011
12503,2011
12504,2011
12601,2011
12602,2011
12701,2011
12702,2011
12703,2011
12801,2011
12802,2011
20101,2011
20102,2011
20103,2011
20201,2011
20202,2011
20203,2011
20301,2011
20302,2011
20303,2011
20401,2011
20402,2011
20403,2011
20501,2011
20502,2011
20503,2011
20504,2011
20505,2011
20601,2011
20602,2011
20603,2011
20604,2011
20605,2011
20606,2011
20607,2011
20701,2011
20702,2011
20703,2011
20801,2011
20802,2011
20803,2011
20804,2011
20901,2011
20902,2011
20903,2011
20904,2011
21001,2011
21002,2011
21003,2011
21004,2011
21005,2011
21101,2011
21102,2011
21103,2011
21104,2011
21105,2011
21201,2011
21202,2011
21203,2011
21204,2011
21205,2011
21301,2011
21302,2011
21303,2011
21304,2011
21305,2011
21401,2011
21402,2011
21501,2011
21502,2011
21503,2011
21601,2011
21602,2011
21603,2011
21701,2011
21703,2011
21704,2011
30101,2011
30102,2011
30103,2011
30201,2011
30202,2011
30203,2011
30204,2011
30301,2011
30302,2011
30303,2011
30304,2011
30305,2011
30306,2011
30401,2011
30402,2011
30403,2011
30404,2011
30501,2011
30502,2011
