LGA_CODE16,Year,AvgTemp,rHist_tHeatAvg,rSpat_rHist_tHeatAvg,cSpat_rHist_tHeatAvg,nAtRisk_tHeat,nHighRisk_tHeat,rHist_tHeat,rSpat_rHist_tHeat,cSpat_rHist_tHeat,nHW_EHF,nSHW_EHF,EHFAvg,rSpat_EHFAvg,cSpat_EHFAvg,rHist_tColdAvg,rSpat_rHist_tColdAvg,cSpat_rHist_tColdAvg,nAtRisk_tCold,nHighRisk_tCold,rHist_tCold,rSpat_rHist_tCold,cSpat_rHist_tCold,nCW_ECF,nSCW_ECF,ECFAvg,rSpat_ECFAvg,cSpat_ECFAvg
10050,2000,15.435568751762197,0.23809523809523808,0.4099264705882353,3,50,11,177.75048885412593,0.5294117647058824,3,8,0,5.538681552062383,0.4963235294117647,3,0.7619047619047619,0.4852941176470588,3,63,19,188.24951114587407,0.4724264705882353,3,14,5,2.857280571969485,0.6966911764705882,4
10130,2000,13.436746233207172,0.19047619047619047,0.29044117647058826,2,29,3,174.52639812280015,0.3694852941176471,2,0,0,0,0.001838235294117647,1,0.8095238095238095,0.59375,3,64,27,191.47360187719985,0.6323529411764706,4,16,5,5.440761568548927,0.8602941176470589,5
10250,2000,19.36785687351489,0.09523809523809523,0.06433823529411764,1,24,6,170.98618172337373,0.22242647058823528,2,3,0,2.856464142276723,0.33455882352941174,2,0.9047619047619048,0.8584558823529411,5,63,26,195.01381827662627,0.7794117647058824,4,20,7,5.252226075459511,0.8547794117647058,5
10300,2000,17.741578144550623,0.23809523809523808,0.4099264705882353,3,46,18,176.3578412201799,0.4797794117647059,3,9,1,9.886586148731734,0.78125,4,0.7619047619047619,0.4852941176470588,3,67,25,189.6421587798201,0.5220588235294118,3,17,0,0.7653391594266648,0.125,1
10470,2000,12.868279982757729,0.14285714285714285,0.14522058823529413,1,43,2,172.49954373614912,0.25919117647058826,2,0,0,0,0.001838235294117647,1,0.8571428571428572,0.7132352941176471,4,72,26,193.50045626385088,0.7426470588235294,4,24,4,3.757298110948532,0.7573529411764706,4
10550,2000,14.010566922881818,0.19047619047619047,0.29044117647058826,2,47,15,175.47933776561075,0.43014705882352944,3,14,2,4.253949784469806,0.4099264705882353,3,0.8095238095238095,0.59375,3,75,27,190.52066223438925,0.5716911764705882,3,16,2,1.092632097059822,0.31066176470588236,2
10600,2000,16.27927346372866,0.14285714285714285,0.14522058823529413,1,34,6,174.00977708251858,0.33639705882352944,2,1,0,1.07062465501285,0.23345588235294118,2,0.8571428571428572,0.7132352941176471,4,69,23,191.99022291748142,0.6654411764705882,4,16,6,5.751556229170238,0.875,5
10650,2000,15.977047829166741,0.14285714285714285,0.14522058823529413,1,49,16,174.75687654803806,0.3860294117647059,2,9,1,10.062604285524609,0.7941176470588235,4,0.8571428571428572,0.7132352941176471,4,74,28,191.24312345196194,0.6158088235294118,4,22,1,1.6973022297535696,0.5036764705882353,3
10750,2000,17.6189094393672,0.19047619047619047,0.29044117647058826,2,47,16,173.81201929344283,0.32169117647058826,2,7,0,2.2417228253790946,0.2959558823529412,2,0.8095238095238095,0.59375,3,71,29,192.18798070655717,0.6801470588235294,4,24,6,2.39516222907558,0.6268382352941176,4
10800,2000,16.68315780348568,0.09523809523809523,0.06433823529411764,1,48,8,173.90509711901967,0.33088235294117646,2,8,0,2.296464294195431,0.3014705882352941,2,0.9047619047619048,0.8584558823529411,5,68,26,192.09490288098033,0.6709558823529411,4,20,2,2.6273810070366452,0.6746323529411765,4
10850,2000,12.73138443041082,0.19047619047619047,0.29044117647058826,2,49,3,173.8073262938339,0.31985294117647056,2,0,0,0,0.001838235294117647,1,0.8095238095238095,0.59375,3,61,24,192.1926737061661,0.6819852941176471,4,21,5,4.416579031064079,0.7941176470588235,4
10900,2000,14.572707665649057,0.09523809523809523,0.06433823529411764,1,50,13,171.7266327727806,0.23897058823529413,2,8,0,2.6601991894574555,0.3180147058823529,2,0.9047619047619048,0.8584558823529411,5,79,29,194.2733672272194,0.7628676470588235,4,26,7,4.105913632203504,0.7794117647058824,4
10950,2000,18.22826157099075,0.047619047619047616,0.001838235294117647,1,29,2,168.26450267240256,0.18198529411764705,1,0,0,0,0.001838235294117647,1,0.9523809523809523,0.9393382352941176,5,65,29,197.73549732759744,0.8198529411764706,5,28,2,2.5443374849634632,0.6654411764705882,4
11100,2000,18.37590385395323,0.23809523809523808,0.4099264705882353,3,46,18,174.99608916699256,0.40625,3,13,4,5.683993081632615,0.5165441176470589,3,0.7619047619047619,0.4852941176470588,3,64,24,191.00391083300744,0.5955882352941176,3,24,7,2.119492718987843,0.5735294117647058,3
11150,2000,20.07772569839788,0.14285714285714285,0.14522058823529413,1,30,5,170.81827662625471,0.22058823529411764,2,0,0,0,0.001838235294117647,1,0.8571428571428572,0.7132352941176471,4,57,24,195.18172337374529,0.78125,4,24,2,2.5015126098387923,0.65625,4
11200,2000,19.90040462884972,0.19047619047619047,0.29044117647058826,2,24,4,170.51075479077042,0.21691176470588236,2,0,0,0,0.001838235294117647,1,0.8095238095238095,0.59375,3,63,25,195.48924520922955,0.7849264705882353,4,25,5,3.1682159335905236,0.7205882352941176,4
11250,2000,18.745836009907606,0.5714285714285714,0.7352941176470589,4,55,19,183.8255768478686,0.8511029411764706,5,10,1,9.199325426432003,0.75,4,0.4285714285714286,0.1948529411764706,1,52,13,182.1744231521314,0.15073529411764705,1,5,0,0.9280573847141301,0.2113970588235294,2
11300,2000,18.016624888435754,0.23809523809523808,0.4099264705882353,3,46,19,175.69886585842784,0.45036764705882354,3,12,2,5.250961660910918,0.4632352941176471,3,0.7619047619047619,0.4852941176470588,3,70,23,190.30113414157216,0.5514705882352942,3,21,6,2.521359422595578,0.6599264705882353,4
11350,2000,19.29294311316289,0.14285714285714285,0.14522058823529413,1,23,5,171.09685829748403,0.2261029411764706,2,2,0,1.095555753392491,0.23713235294117646,2,0.8571428571428572,0.7132352941176471,4,63,25,194.90314170251597,0.7757352941176471,4,21,7,5.143359312107728,0.84375,5
11400,2000,14.781534065062424,0.19047619047619047,0.29044117647058826,2,48,3,173.97875114065963,0.33455882352941174,2,0,0,0,0.001838235294117647,1,0.8095238095238095,0.59375,3,62,25,192.02124885934037,0.6672794117647058,4,21,5,4.657699408775832,0.8125,5
11450,2000,16.915530242527154,0.14285714285714285,0.14522058823529413,1,45,14,172.87146395515578,0.27389705882352944,2,6,0,2.708846756978062,0.3235294117647059,2,0.8571428571428572,0.7132352941176471,4,73,28,193.12853604484422,0.7279411764705882,4,29,6,2.3646656935483934,0.6176470588235294,4
11500,2000,16.786072354091985,0.19047619047619047,0.29044117647058826,2,47,16,173.5374788163212,0.30330882352941174,2,11,0,2.2179784803293585,0.29411764705882354,2,0.8095238095238095,0.59375,3,70,27,192.4625211836788,0.6985294117647058,4,24,6,2.7003144427443955,0.6856617647058824,4
11520,2000,18.14012036102067,0.23809523809523808,0.4099264705882353,3,45,18,175.53030895580758,0.4338235294117647,3,11,2,5.676302335296237,0.5128676470588235,3,0.7619047619047619,0.4852941176470588,3,68,20,190.46969104419242,0.5680147058823529,3,20,5,2.2020886657856584,0.5955882352941176,3
11570,2000,17.806696132884017,0.19047619047619047,0.29044117647058826,2,44,19,174.74019032720636,0.38419117647058826,2,12,0,4.122024106146539,0.39889705882352944,2,0.8095238095238095,0.59375,3,72,29,191.25980967279364,0.6176470588235294,4,21,6,2.646643896926,0.6783088235294118,4
11600,2000,17.470085449613485,0.14285714285714285,0.14522058823529413,1,41,9,173.29735366966497,0.29044117647058826,2,6,0,5.450749262677599,0.4852941176470588,3,0.8571428571428572,0.7132352941176471,4,70,25,192.70264633033503,0.7113970588235294,4,15,1,2.0373612311602507,0.5496323529411765,3
11650,2000,17.231818340840903,0.19047619047619047,0.29044117647058826,2,41,14,174.4108981879807,0.3584558823529412,2,8,1,5.521302725145899,0.49264705882352944,3,0.8095238095238095,0.59375,3,66,26,191.5891018120193,0.6433823529411765,4,21,5,2.298949333380845,0.6121323529411765,4
11700,2000,19.33793861573675,0.19047619047619047,0.29044117647058826,2,43,10,176.98670316777475,0.5073529411764706,3,5,0,6.18217463263233,0.5625,3,0.8095238095238095,0.59375,3,61,21,189.01329683222525,0.4944852941176471,3,15,0,1.1555131504986667,0.34191176470588236,2
11720,2000,16.918094692253035,0.19047619047619047,0.29044117647058826,2,41,13,174.49758831964542,0.36580882352941174,2,6,0,4.475272251732529,0.4172794117647059,3,0.8095238095238095,0.59375,3,70,29,191.50241168035458,0.6360294117647058,4,20,5,2.45618917659298,0.6433823529411765,4
11730,2000,17.854277876338074,0.23809523809523808,0.4099264705882353,3,30,6,175.48807195932733,0.4319852941176471,3,2,0,1.832767569133665,0.27389705882352944,2,0.7619047619047619,0.4852941176470588,3,61,22,190.51192804067267,0.5698529411764706,3,17,6,3.766377088294724,0.7610294117647058,4
11750,2000,18.418764196753596,0.14285714285714285,0.14522058823529413,1,39,8,171.886846564985,0.2426470588235294,2,2,0,5.47773298028425,0.49080882352941174,3,0.8571428571428572,0.7132352941176471,4,63,24,194.113153435015,0.7591911764705882,4,21,2,2.608029749657959,0.6727941176470589,4
11800,2000,17.856093716100283,0.14285714285714285,0.14522058823529413,1,32,5,174.19515056707078,0.34558823529411764,2,1,0,0.00794148094937533,0.16727941176470587,1,0.8571428571428572,0.7132352941176471,4,65,20,191.80484943292922,0.65625,4,14,7,5.91829910616121,0.8805147058823529,5
12000,2000,16.111962128430612,0.14285714285714285,0.14522058823529413,1,50,9,175.66914352757138,0.44669117647058826,3,7,0,3.6993571643096987,0.38235294117647056,2,0.8571428571428572,0.7132352941176471,4,67,27,190.33085647242862,0.5551470588235294,3,15,3,3.10813231631145,0.7150735294117647,4
12150,2000,18.474416046209974,0.19047619047619047,0.29044117647058826,2,29,2,170.6727936383783,0.21875,2,0,0,0,0.001838235294117647,1,0.8095238095238095,0.59375,3,62,27,195.3272063616217,0.7830882352941176,4,25,7,4.3825870911732006,0.7867647058823529,4
12350,2000,15.13451705921361,0.14285714285714285,0.14522058823529413,1,49,5,175.6738365271803,0.4485294117647059,3,0,0,0,0.001838235294117647,1,0.8571428571428572,0.7132352941176471,4,64,22,190.3261634728197,0.5533088235294118,3,16,4,4.391765847116512,0.7904411764705882,4
12380,2000,17.865347410648916,0.19047619047619047,0.29044117647058826,2,46,18,175.29200886455482,0.4209558823529412,3,12,0,3.1712481678877396,0.35661764705882354,2,0.8095238095238095,0.59375,3,69,30,190.70799113544518,0.5808823529411765,3,20,5,2.460003676018798,0.6452205882352942,4
12700,2000,16.891405315835634,0.19047619047619047,0.29044117647058826,2,38,10,173.89023595359146,0.3290441176470588,2,5,0,4.99361880728167,0.44669117647058826,3,0.8095238095238095,0.59375,3,68,26,192.10976404640854,0.6727941176470589,4,22,4,2.1018982664720043,0.5661764705882353,3
12730,2000,16.68076005457937,0.3333333333333333,0.5441176470588235,3,49,16,176.96819189153956,0.5055147058823529,3,8,2,13.38466176846934,0.9117647058823529,5,0.6666666666666667,0.4375,3,69,22,189.03180810846044,0.4963235294117647,3,15,0,1.0783159315828625,0.30330882352941174,2
12750,2000,14.71220090771553,0.23809523809523808,0.4099264705882353,3,51,15,176.50345456915656,0.4889705882352941,3,11,3,4.643183736179145,0.42463235294117646,3,0.7619047619047619,0.4852941176470588,3,69,22,189.49654543084344,0.5128676470588235,3,14,1,1.13858504363675,0.33639705882352944,2
