SA4_CODE16,Year,AvgTemp,rHist_tHeatAvg,rSpat_rHist_tHeatAvg,cSpat_rHist_tHeatAvg,nAtRisk_tHeat,nHighRisk_tHeat,rHist_tHeat,rSpat_rHist_tHeat,cSpat_rHist_tHeat,nHW_EHF,nSHW_EHF,EHFAvg,rSpat_EHFAvg,cSpat_EHFAvg,rHist_tColdAvg,rSpat_rHist_tColdAvg,cSpat_rHist_tColdAvg,nAtRisk_tCold,nHighRisk_tCold,rHist_tCold,rSpat_rHist_tCold,cSpat_rHist_tCold,nCW_ECF,nSCW_ECF,ECFAvg,rSpat_ECFAvg,cSpat_ECFAvg
101,2000,13.638057642068333,0.19047619047619047,0.3181818181818182,2,49,13,174.66327727806024,0.45454545454545453,3,9,0,3.3342154702070053,0.4090909090909091,3,0.8095238095238095,0.5909090909090909,3,72,23,191.33672272193976,0.5568181818181818,3,21,3,1.58647054575454,0.375,2
102,2000,17.752844420086273,0.23809523809523808,0.4318181818181818,3,38,12,175.2148350932082,0.5113636363636364,3,8,2,6.432398627454603,0.625,4,0.7619047619047619,0.4431818181818182,3,64,22,190.7851649067918,0.5,3,18,3,1.995477563575822,0.4772727272727273,3
103,2000,14.482448411335167,0.19047619047619047,0.3181818181818182,2,50,4,173.5549472037544,0.32954545454545453,2,0,0,0,0.011363636363636364,1,0.8095238095238095,0.5909090909090909,3,67,24,192.4450527962456,0.6818181818181818,4,23,4,3.861291631756684,0.7272727272727273,4
104,2000,18.224460518201358,0.14285714285714285,0.14772727272727273,1,32,5,174.48794159822708,0.42045454545454547,3,1,0,0.324459268640202,0.125,1,0.8571428571428572,0.7045454545454546,4,65,21,191.51205840177292,0.5909090909090909,3,14,7,5.470832313791086,0.875,5
105,2000,17.733220816639346,0.14285714285714285,0.14772727272727273,1,35,1,170.54308434363185,0.22727272727272727,2,0,0,0,0.011363636363636364,1,0.8571428571428572,0.7045454545454546,4,68,26,195.45691565636815,0.7840909090909091,4,23,5,3.8984705219793483,0.7386363636363636,4
106,2000,17.479331406075932,0.14285714285714285,0.14772727272727273,1,35,10,172.08290965975752,0.2727272727272727,2,6,0,4.212092732835181,0.4659090909090909,3,0.8571428571428572,0.7045454545454546,4,71,30,193.91709034024248,0.7386363636363636,4,22,5,2.2610296957721876,0.5454545454545454,3
107,2000,16.910977251651293,0.23809523809523808,0.4318181818181818,3,51,16,173.23256420284187,0.29545454545454547,2,11,1,3.3799412485209412,0.42045454545454547,3,0.7619047619047619,0.4431818181818182,3,71,30,192.76743579715813,0.7159090909090909,4,26,5,1.9904105189525596,0.45454545454545453,3
108,2000,18.073480087173394,0.2857142857142857,0.5795454545454546,3,40,9,177.62925303089557,0.625,4,4,0,2.2285707798366237,0.29545454545454547,2,0.7142857142857143,0.3977272727272727,2,65,22,188.37074696910443,0.38636363636363635,2,14,6,3.51813894649104,0.6931818181818182,4
109,2000,16.135112949417543,0.23809523809523808,0.4318181818181818,3,50,14,176.62508147568767,0.6022727272727273,4,8,1,9.6269842408519,0.7386363636363636,4,0.7619047619047619,0.4431818181818182,3,65,26,189.37491852431233,0.4090909090909091,3,15,1,1.2862685898454003,0.2727272727272727,2
110,2000,16.35930916054643,0.2857142857142857,0.5795454545454546,3,33,3,175.53943423282493,0.5568181818181818,3,0,0,0,0.011363636363636364,1,0.7142857142857143,0.3977272727272727,2,58,27,190.46056576717507,0.45454545454545453,3,20,7,4.602031634068161,0.7840909090909091,4
111,2000,18.060340367222313,0.19047619047619047,0.3181818181818182,2,34,12,173.80524051622996,0.3522727272727273,2,8,2,7.751033708154122,0.6704545454545454,4,0.8095238095238095,0.5909090909090909,3,65,25,192.19475948377004,0.6590909090909091,4,20,3,1.6030166169549893,0.3977272727272727,2
112,2000,19.48120234572082,0.14285714285714285,0.14772727272727273,1,24,5,171.09034024247165,0.23863636363636365,2,3,0,1.4117455744730083,0.20454545454545456,2,0.8571428571428572,0.7045454545454546,4,63,27,194.90965975752835,0.7727272727272727,4,20,8,5.889819922368378,0.9090909090909091,5
113,2000,15.32541413537366,0.14285714285714285,0.14772727272727273,1,49,10,175.23491070264632,0.5227272727272727,3,6,0,3.7377089223657682,0.45454545454545453,3,0.8571428571428572,0.7045454545454546,4,67,27,190.76508929735368,0.48863636363636365,3,17,4,2.97538714249456,0.6818181818181818,4
114,2000,15.655922907185344,0.23809523809523808,0.4318181818181818,3,51,16,174.5965323947334,0.4431818181818182,3,9,0,4.351340893668243,0.5113636363636364,3,0.7619047619047619,0.4431818181818182,3,67,29,191.4034676052666,0.5681818181818182,3,21,3,1.9754948190849428,0.4431818181818182,3
115,2000,17.294124132832867,0.19047619047619047,0.3181818181818182,2,46,15,173.30087341937167,0.3181818181818182,2,10,0,2.5534605853725694,0.3181818181818182,2,0.8095238095238095,0.5909090909090909,3,71,28,192.69912658062833,0.6931818181818182,4,24,5,2.6284398895552497,0.625,4
116,2000,17.62156456709444,0.19047619047619047,0.3181818181818182,2,47,16,173.93364619997394,0.36363636363636365,2,10,0,1.8527708572496493,0.2159090909090909,2,0.8095238095238095,0.5909090909090909,3,70,30,192.06635380002606,0.6477272727272727,4,25,6,2.2898727174432945,0.5681818181818182,3
117,2000,18.31737799270077,0.23809523809523808,0.4318181818181818,3,45,19,175.28588189284318,0.5340909090909091,3,13,3,5.516692844259189,0.5795454545454546,3,0.7619047619047619,0.4431818181818182,3,65,24,190.71411810715682,0.4772727272727273,3,22,5,2.2856188692839976,0.5568181818181818,3
118,2000,18.30300283417531,0.23809523809523808,0.4318181818181818,3,48,20,175.82440359796638,0.5681818181818182,3,12,3,6.303251756926396,0.6136363636363636,4,0.7619047619047619,0.4431818181818182,3,64,21,190.17559640203362,0.4431818181818182,3,21,6,2.2465961470092934,0.5340909090909091,3
119,2000,17.90243641120163,0.19047619047619047,0.3181818181818182,2,45,19,174.77004301916307,0.4659090909090909,3,11,1,4.908295765891298,0.5227272727272727,3,0.8095238095238095,0.5909090909090909,3,70,27,191.2299569808369,0.5454545454545454,3,21,6,2.7068868391464784,0.6477272727272727,4
120,2000,18.105412148855265,0.23809523809523808,0.4318181818181818,3,45,18,175.4552209620649,0.5454545454545454,3,12,2,5.437543777952523,0.5681818181818182,3,0.7619047619047619,0.4431818181818182,3,68,23,190.5447790379351,0.4659090909090909,3,21,6,2.3151781214951748,0.5795454545454546,3
