LGA_CODE16,Year,AvgFCTemp,rHist_AvgFCTemp,nAtRisk_FCHeat,nHighRisk_FCHeat
10050,2000,15.435568751762197,0.20833333333333334,47,9
10130,2000,13.436746233207172,0.16666666666666666,23,3
10250,2000,19.36785687351489,0.08333333333333333,19,6
10300,2000,17.741578144550623,0.20833333333333334,45,15
10470,2000,12.868279982757729,0.125,40,2
10550,2000,14.010566922881818,0.16666666666666666,46,14
10600,2000,16.27927346372866,0.125,29,4
10650,2000,15.977047829166741,0.125,49,15
10750,2000,17.6189094393672,0.16666666666666666,44,16
10800,2000,16.68315780348568,0.08333333333333333,44,7
10850,2000,12.73138443041082,0.16666666666666666,46,3
10900,2000,14.572707665649057,0.08333333333333333,43,11
10950,2000,18.22826157099075,0.041666666666666664,26,2
11100,2000,18.37590385395323,0.20833333333333334,41,16
11150,2000,20.07772569839788,0.125,26,5
11200,2000,19.90040462884972,0.16666666666666666,22,3
11250,2000,18.745836009907606,0.5,54,17
11300,2000,18.016624888435754,0.20833333333333334,44,18
11350,2000,19.29294311316289,0.125,17,4
11400,2000,14.781534065062424,0.16666666666666666,44,3
11450,2000,16.915530242527154,0.125,42,13
11500,2000,16.786072354091985,0.16666666666666666,43,11
11520,2000,18.14012036102067,0.20833333333333334,45,18
11570,2000,17.806696132884017,0.16666666666666666,44,19
11600,2000,17.470085449613485,0.125,37,7
11650,2000,17.231818340840903,0.16666666666666666,35,12
11700,2000,19.33793861573675,0.16666666666666666,40,10
11720,2000,16.918094692253035,0.16666666666666666,37,12
11730,2000,17.854277876338074,0.20833333333333334,27,5
11750,2000,18.418764196753596,0.125,35,4
11800,2000,17.856093716100283,0.125,28,4
12000,2000,16.111962128430612,0.125,46,8
12150,2000,18.474416046209974,0.16666666666666666,24,2
12350,2000,15.13451705921361,0.125,47,4
12380,2000,17.865347410648916,0.16666666666666666,46,17
12700,2000,16.891405315835634,0.16666666666666666,35,10
12730,2000,16.68076005457937,0.2916666666666667,46,15
12750,2000,14.71220090771553,0.20833333333333334,48,15
12850,2000,17.62432504754739,0.20833333333333334,44,17
12870,2000,16.101270916362818,0.125,46,10
12900,2000,16.672041919097683,0.125,45,5
12930,2000,17.876917707464095,0.16666666666666666,43,19
12950,2000,16.730561527125854,0.041666666666666664,22,1
13010,2000,14.097687929543003,0.2916666666666667,23,5
13310,2000,12.864468400291864,0.125,39,12
13340,2000,14.899933242816694,0.16666666666666666,47,8
13450,2000,16.829864517423015,0.08333333333333333,35,6
13510,2000,14.72318103437216,0.125,47,8
13550,2000,17.825293001774813,0.20833333333333334,31,2
13660,2000,17.80124748011676,0.2916666666666667,19,3
13800,2000,16.490285659244527,0.125,39,12
13850,2000,17.35676692885251,0.125,41,12
13910,2000,14.488351619288418,0.125,48,6
14000,2000,17.17177122668492,0.16666666666666666,42,16
14100,2000,18.112678207009232,0.20833333333333334,45,18
14170,2000,18.163282867337855,0.20833333333333334,43,18
14200,2000,17.099610430839906,0.25,18,2
14300,2000,15.224820262314813,0.125,46,7
14350,2000,17.627833600822708,0.25,30,6
14400,2000,16.050924709911566,0.16666666666666666,45,16
14500,2000,17.527390446819258,0.16666666666666666,45,16
14550,2000,18.329812892473473,0.20833333333333334,24,6
14600,2000,17.18674231715757,0.08333333333333333,42,5
14650,2000,17.77934073783011,0.20833333333333334,31,12
14700,2000,18.023854435467346,0.20833333333333334,45,16
14750,2000,16.934971544978122,0.08333333333333333,40,7
14850,2000,19.07497448054821,0.125,23,5
14870,2000,13.568380497569033,0.16666666666666666,44,10
14900,2000,17.305997767628824,0.16666666666666666,44,15
14920,2000,16.183537667220417,0.125,33,2
14950,2000,15.95615167069171,0.16666666666666666,47,10
15050,2000,17.815999818874204,0.125,33,10
15240,2000,17.036621036018197,0.16666666666666666,35,10
15270,2000,14.596833609360095,0.125,38,3
15300,2000,19.770307821715313,0.2916666666666667,20,3
15350,2000,18.26154607762406,0.20833333333333334,42,16
15520,2000,16.60275136946341,0.3333333333333333,50,17
15560,2000,16.617630848264117,0.08333333333333333,42,11
15650,2000,16.190028334708256,0.16666666666666666,41,4
15700,2000,18.051457595466932,0.25,31,5
15750,2000,18.782704936080915,0.2916666666666667,30,2
15800,2000,16.700768913508817,0.08333333333333333,44,7
15850,2000,17.412398342173745,0.041666666666666664,33,1
15900,2000,18.094628670827955,0.125,30,11
15950,2000,18.227804174188723,0.20833333333333334,43,16
15990,2000,17.714394638447178,0.20833333333333334,44,16
16100,2000,11.871868838386902,0.16666666666666666,42,8
16150,2000,12.28561491267807,0.16666666666666666,42,4
16200,2000,16.99749374259366,0.08333333333333333,43,3
16260,2000,17.79943727909543,0.16666666666666666,45,16
16350,2000,17.449355126719915,0.125,43,11
16380,2000,17.02242851620185,0.25,32,7
16400,2000,18.046144845707182,0.08333333333333333,31,12
16490,2000,11.969666956378095,0.08333333333333333,39,13
16550,2000,18.318525342993418,0.20833333333333334,41,15
16610,2000,19.2626414844573,0.125,25,7
16650,2000,18.13263938335775,0.16666666666666666,42,18
16700,2000,17.872305219290702,0.16666666666666666,45,17
16900,2000,16.52902951038602,0.16666666666666666,48,17
16950,2000,15.364127020628963,0.20833333333333334,46,14
17000,2000,16.537223978873985,0.16666666666666666,41,8
17040,2000,10.427350949383438,0.16666666666666666,46,14
17080,2000,11.5375842310724,0.16666666666666666,46,11
17100,2000,18.010477747096406,0.20833333333333334,45,18
17150,2000,17.383891772051342,0.20833333333333334,42,14
17200,2000,18.33167487871453,0.20833333333333334,42,16
17310,2000,15.124959996054113,0.16666666666666666,27,2
17350,2000,15.892872138350292,0.125,47,9
17400,2000,15.844187935519104,0.3333333333333333,23,6
17420,2000,17.33526294205156,0.125,42,13
17550,2000,19.250650673290433,0.125,19,5
17620,2000,15.268224098769922,0.08333333333333333,36,2
17640,2000,12.782134892965441,0.125,42,10
17650,2000,13.863705959987886,0.16666666666666666,20,3
17750,2000,15.472788714325382,0.125,47,9
17850,2000,13.065635063140942,0.125,28,3
17900,2000,19.710501676369372,0.16666666666666666,24,2
17950,2000,18.27921803863059,0.041666666666666664,22,1
18020,2000,16.084872115668063,0.041666666666666664,26,1
18050,2000,18.286960439603853,0.20833333333333334,42,15
18100,2000,16.09621088882105,0.20833333333333334,50,6
18200,2000,18.1532699421374,0.4166666666666667,49,16
18230,2000,16.06202171557671,0.125,33,1
18250,2000,17.934000707063536,0.20833333333333334,44,16
18350,2000,13.918400777021656,0.20833333333333334,44,10
18400,2000,15.298578008581877,0.125,43,11
18450,2000,16.175509332633425,0.20833333333333334,43,15
18500,2000,18.28354965663349,0.20833333333333334,42,15
18710,2000,13.47137616807214,0.125,44,9
19399,2000,20.319339823038867,0.2916666666666667,42,7
20110,2000,11.441973573057487,0.20833333333333334,50,14
20260,2000,13.540672332905952,0.4583333333333333,56,17
20570,2000,12.76391467445943,0.5,55,19
20660,2000,15.326854671427963,0.4583333333333333,54,18
20740,2000,14.760301962087725,0.5416666666666666,49,17
20830,2000,12.688778407596915,0.4583333333333333,50,17
20910,2000,15.447372803271154,0.4583333333333333,53,19
21010,2000,14.524237591956496,0.375,49,11
21110,2000,15.509146613420045,0.5,54,19
21180,2000,15.205173128371042,0.4583333333333333,51,17
21270,2000,16.14429907443237,0.4583333333333333,51,15
21370,2000,15.384602219838396,0.20833333333333334,49,14
21450,2000,14.543975476806617,0.5,52,19
21610,2000,15.07349050806358,0.5416666666666666,53,19
