SA3_CODE16,Year,AvgFCTemp,rHist_AvgFCTemp,nAtRisk_FCHeat,nHighRisk_FCHeat
10102,2000,12.535924228895492,0.08333333333333333,41,11
10103,2000,10.6457602252722,0.16666666666666666,47,14
10104,2000,15.311277492000867,0.3333333333333333,49,17
10105,2000,12.963957966586749,0.16666666666666666,38,11
10106,2000,14.01925042923907,0.125,46,6
10201,2000,17.595215410495655,0.20833333333333334,39,14
10202,2000,17.932991859609583,0.20833333333333334,31,12
10301,2000,12.775090160117486,0.125,41,2
10302,2000,16.378666592512296,0.125,46,4
10303,2000,14.043792606558288,0.16666666666666666,40,4
10304,2000,13.055354007286544,0.16666666666666666,44,2
10401,2000,19.09346563664071,0.20833333333333334,25,5
10402,2000,17.934792145316333,0.125,27,4
10501,2000,18.977489889541804,0.125,25,1
10502,2000,19.352247145574452,0.375,52,13
10503,2000,16.550796063769127,0.041666666666666664,26,1
10601,2000,17.246379423741608,0.16666666666666666,37,10
10602,2000,17.85480168329344,0.125,32,10
10603,2000,18.114660993423694,0.08333333333333333,30,12
10604,2000,16.305832750674863,0.125,37,4
10701,2000,17.08681385670121,0.20833333333333334,48,16
10702,2000,15.32543884589754,0.20833333333333334,47,14
10703,2000,16.904804025727973,0.16666666666666666,48,18
10704,2000,16.961485748884733,0.20833333333333334,44,15
10801,2000,18.15045000426981,0.16666666666666666,35,10
10802,2000,18.57017030453757,0.25,33,6
10803,2000,NA,NA,0,0
10804,2000,17.85507708700082,0.2916666666666667,29,7
10805,2000,17.634278892949727,0.25,38,11
10901,2000,15.263819257746722,0.20833333333333334,48,9
10902,2000,17.688825924279147,0.3333333333333333,47,17
10903,2000,16.084334538309427,0.20833333333333334,49,14
11001,2000,13.201881330184426,0.125,24,3
11002,2000,15.97606261107213,0.2916666666666667,22,3
11003,2000,19.3463386444153,0.3333333333333333,24,2
11004,2000,16.7304271796372,0.20833333333333334,32,2
11101,2000,18.083270207920005,0.16666666666666666,28,12
11102,2000,17.91876675072658,0.20833333333333334,31,12
11103,2000,18.116386563661788,0.125,29,12
11201,2000,19.485683071976776,0.08333333333333333,17,4
11202,2000,19.003138636320354,0.125,23,5
11203,2000,19.8352694015514,0.125,17,4
11301,2000,16.909778478175546,0.08333333333333333,40,7
11302,2000,12.688404954459017,0.16666666666666666,48,10
11303,2000,15.500255265549333,0.125,48,8
11401,2000,16.573409937484747,0.20833333333333334,44,17
11402,2000,13.820948846573998,0.20833333333333334,43,10
11501,2000,17.383893407990563,0.16666666666666666,44,16
11502,2000,17.16818328719399,0.125,42,15
11503,2000,16.67816336980123,0.125,38,12
11504,2000,17.54229472798224,0.125,44,13
11601,2000,17.63270002149727,0.16666666666666666,44,16
11602,2000,17.607126154368032,0.16666666666666666,44,15
11603,2000,17.620742264562256,0.16666666666666666,45,14
11701,2000,18.36801189720105,0.20833333333333334,41,16
11702,2000,18.174155789170765,0.20833333333333334,43,18
11703,2000,18.329964310961202,0.20833333333333334,42,16
11801,2000,18.286946641220702,0.20833333333333334,42,15
11802,2000,18.319059027076655,0.20833333333333334,41,16
11901,2000,17.773448316411066,0.16666666666666666,44,19
11902,2000,17.909168494528103,0.16666666666666666,44,18
11903,2000,17.84352970420492,0.16666666666666666,42,19
11904,2000,18.109324325351775,0.16666666666666666,42,18
12001,2000,18.14007942990369,0.20833333333333334,45,18
12002,2000,18.198302103876596,0.20833333333333334,43,18
12003,2000,18.059041149982242,0.20833333333333334,43,18
12101,2000,17.950531381322403,0.20833333333333334,45,17
12102,2000,17.240305211283925,0.16666666666666666,44,16
12103,2000,17.548514696754328,0.16666666666666666,45,16
12104,2000,18.24787055470765,0.20833333333333334,42,16
12201,2000,18.197858958266394,0.20833333333333334,43,14
12202,2000,17.858368032904373,0.20833333333333334,43,16
12203,2000,17.890714795196875,0.20833333333333334,44,15
12301,2000,16.859969938414846,0.125,41,13
12302,2000,16.954599740510627,0.16666666666666666,44,12
12303,2000,15.837593921504439,0.16666666666666666,44,13
12401,2000,14.588744612346412,0.08333333333333333,44,11
12402,2000,14.484703570549181,0.125,41,9
12403,2000,17.39423131922541,0.125,43,10
12404,2000,17.4928885027623,0.125,42,12
12405,2000,17.579757580809083,0.125,44,14
12501,2000,18.00618392901998,0.20833333333333334,45,20
12502,2000,17.747690208388434,0.16666666666666666,45,16
12503,2000,17.814551845831666,0.16666666666666666,46,17
12504,2000,17.75192617320748,0.16666666666666666,45,16
12601,2000,17.492663836884564,0.16666666666666666,45,16
12602,2000,17.938343089337263,0.20833333333333334,45,18
12701,2000,17.324929272221464,0.16666666666666666,43,15
12702,2000,17.666402789132935,0.20833333333333334,44,17
12703,2000,17.574814088820258,0.20833333333333334,44,18
12801,2000,17.937535370402664,0.20833333333333334,42,17
12802,2000,17.377229343224045,0.20833333333333334,43,14
20101,2000,12.652642334745732,0.5,55,18
20102,2000,12.698296105068648,0.5,53,18
20103,2000,13.793988021257103,0.4166666666666667,54,16
20201,2000,14.354752282279714,0.16666666666666666,49,14
20202,2000,13.452252595236795,0.4166666666666667,52,14
20203,2000,15.24571031120765,0.20833333333333334,51,14
20301,2000,14.28801045353552,0.4166666666666667,53,20
20302,2000,14.842188537574392,0.5,51,21
20303,2000,14.700890728817624,0.4583333333333333,50,18
20401,2000,13.356412168691714,0.375,49,15
20402,2000,14.732812134048087,0.2916666666666667,46,11
20403,2000,13.66126569063405,0.20833333333333334,48,10
20501,2000,13.544019931107583,0.5,51,16
20502,2000,13.68728970393794,0.5,49,21
20503,2000,14.510917309997074,0.5416666666666666,50,16
20504,2000,14.036044853551639,0.5,52,18
20505,2000,13.644538869621812,0.375,49,18
20601,2000,15.671438087010928,0.5,53,20
20602,2000,15.63004077307969,0.5,53,20
20603,2000,15.735368497385245,0.5,53,19
20604,2000,15.907766958455662,0.5416666666666666,54,20
20605,2000,15.826255688784935,0.5,55,20
20606,2000,15.782708652085383,0.5,55,20
20607,2000,15.895637395997072,0.5416666666666666,55,20
20701,2000,15.497962182940574,0.5,54,19
20702,2000,15.25699215616507,0.4583333333333333,52,19
20703,2000,15.13184258231089,0.4583333333333333,53,19
20801,2000,15.434914355689434,0.4583333333333333,53,19
20802,2000,15.438104256226639,0.5,55,18
20803,2000,15.285363592734228,0.4583333333333333,51,18
20804,2000,15.49166453588388,0.5,55,18
20901,2000,15.331341790277019,0.4583333333333333,53,18
20902,2000,15.360532042446994,0.4583333333333333,53,19
20903,2000,14.492582951475216,0.5,52,16
20904,2000,14.679624987681018,0.4583333333333333,53,16
21001,2000,15.453884285626366,0.4583333333333333,53,18
21002,2000,12.632246866683744,0.4583333333333333,51,13
21003,2000,15.322917337220854,0.4583333333333333,52,18
21004,2000,14.043706978326503,0.4583333333333333,52,16
21005,2000,14.752193107394076,0.4583333333333333,55,16
21101,2000,14.837127295711522,0.5,52,18
21102,2000,14.933076192881147,0.5,51,19
