SA3_CODE16,Year,AST,rsAST,COPD,rsCOPD,RESP,rsRESP
10102,2011,NA,NA,NA,NA,NA,NA
10103,2011,NA,NA,NA,NA,NA,NA
10104,2011,NA,NA,NA,NA,NA,NA
10105,2011,NA,NA,NA,NA,NA,NA
10106,2011,NA,NA,NA,NA,NA,NA
10201,2011,NA,NA,NA,NA,NA,NA
10202,2011,NA,NA,NA,NA,NA,NA
10301,2011,NA,NA,NA,NA,NA,NA
10302,2011,NA,NA,NA,NA,NA,NA
10303,2011,NA,NA,NA,NA,NA,NA
10304,2011,NA,NA,NA,NA,NA,NA
10401,2011,NA,NA,NA,NA,NA,NA
10402,2011,NA,NA,NA,NA,NA,NA
10501,2011,NA,NA,NA,NA,NA,NA
10502,2011,NA,NA,NA,NA,NA,NA
10503,2011,NA,NA,NA,NA,NA,NA
10601,2011,NA,NA,NA,NA,NA,NA
10602,2011,NA,NA,NA,NA,NA,NA
10603,2011,NA,NA,NA,NA,NA,NA
10604,2011,NA,NA,NA,NA,NA,NA
10701,2011,NA,NA,NA,NA,NA,NA
10702,2011,NA,NA,NA,NA,NA,NA
10703,2011,NA,NA,NA,NA,NA,NA
10704,2011,NA,NA,NA,NA,NA,NA
10801,2011,NA,NA,NA,NA,NA,NA
10802,2011,NA,NA,NA,NA,NA,NA
10803,2011,NA,NA,NA,NA,NA,NA
10804,2011,NA,NA,NA,NA,NA,NA
10805,2011,NA,NA,NA,NA,NA,NA
10901,2011,NA,NA,NA,NA,NA,NA
10902,2011,NA,NA,NA,NA,NA,NA
10903,2011,NA,NA,NA,NA,NA,NA
11001,2011,NA,NA,NA,NA,NA,NA
11002,2011,NA,NA,NA,NA,NA,NA
11003,2011,NA,NA,NA,NA,NA,NA
11004,2011,NA,NA,NA,NA,NA,NA
11101,2011,NA,NA,NA,NA,NA,NA
11102,2011,NA,NA,NA,NA,NA,NA
11103,2011,NA,NA,NA,NA,NA,NA
11201,2011,NA,NA,NA,NA,NA,NA
11202,2011,NA,NA,NA,NA,NA,NA
11203,2011,NA,NA,NA,NA,NA,NA
