SA2_MAIN16,Year,BP,rsBP,BC,rsBC,CS,rsCS,VD,rsVD
101021007,2011,NA,NA,NA,NA,NA,NA,NA,NA
101021008,2011,NA,NA,NA,NA,NA,NA,NA,NA
101021009,2011,NA,NA,NA,NA,NA,NA,NA,NA
101021010,2011,NA,NA,NA,NA,NA,NA,NA,NA
101021011,2011,NA,NA,NA,NA,NA,NA,NA,NA
101021012,2011,NA,NA,NA,NA,NA,NA,NA,NA
101031013,2011,NA,NA,NA,NA,NA,NA,NA,NA
101031014,2011,NA,NA,NA,NA,NA,NA,NA,NA
101031015,2011,NA,NA,NA,NA,NA,NA,NA,NA
101031016,2011,NA,NA,NA,NA,NA,NA,NA,NA
101041017,2011,NA,NA,NA,NA,NA,NA,NA,NA
101041018,2011,NA,NA,NA,NA,NA,NA,NA,NA
101041019,2011,NA,NA,NA,NA,NA,NA,NA,NA
101041020,2011,NA,NA,NA,NA,NA,NA,NA,NA
101041021,2011,NA,NA,NA,NA,NA,NA,NA,NA
101041022,2011,NA,NA,NA,NA,NA,NA,NA,NA
101041023,2011,NA,NA,NA,NA,NA,NA,NA,NA
101041024,2011,NA,NA,NA,NA,NA,NA,NA,NA
101041025,2011,NA,NA,NA,NA,NA,NA,NA,NA
101041026,2011,NA,NA,NA,NA,NA,NA,NA,NA
101041027,2011,NA,NA,NA,NA,NA,NA,NA,NA
101051539,2011,NA,NA,NA,NA,NA,NA,NA,NA
101051540,2011,NA,NA,NA,NA,NA,NA,NA,NA
101061541,2011,NA,NA,NA,NA,NA,NA,NA,NA
101061542,2011,NA,NA,NA,NA,NA,NA,NA,NA
101061543,2011,NA,NA,NA,NA,NA,NA,NA,NA
101061544,2011,NA,NA,NA,NA,NA,NA,NA,NA
102011028,2011,NA,NA,NA,NA,NA,NA,NA,NA
102011029,2011,NA,NA,NA,NA,NA,NA,NA,NA
102011030,2011,NA,NA,NA,NA,NA,NA,NA,NA
102011031,2011,NA,NA,NA,NA,NA,NA,NA,NA
102011032,2011,NA,NA,NA,NA,NA,NA,NA,NA
102011033,2011,NA,NA,NA,NA,NA,NA,NA,NA
102011034,2011,NA,NA,NA,NA,NA,NA,NA,NA
102011035,2011,NA,NA,NA,NA,NA,NA,NA,NA
102011036,2011,NA,NA,NA,NA,NA,NA,NA,NA
102011037,2011,NA,NA,NA,NA,NA,NA,NA,NA
102011038,2011,NA,NA,NA,NA,NA,NA,NA,NA
102011039,2011,NA,NA,NA,NA,NA,NA,NA,NA
102011040,2011,NA,NA,NA,NA,NA,NA,NA,NA
102011041,2011,NA,NA,NA,NA,NA,NA,NA,NA
102011042,2011,NA,NA,NA,NA,NA,NA,NA,NA
102011043,2011,NA,NA,NA,NA,NA,NA,NA,NA
102021044,2011,NA,NA,NA,NA,NA,NA,NA,NA
102021045,2011,NA,NA,NA,NA,NA,NA,NA,NA
102021046,2011,NA,NA,NA,NA,NA,NA,NA,NA
102021047,2011,NA,NA,NA,NA,NA,NA,NA,NA
102021048,2011,NA,NA,NA,NA,NA,NA,NA,NA
102021049,2011,NA,NA,NA,NA,NA,NA,NA,NA
102021050,2011,NA,NA,NA,NA,NA,NA,NA,NA
102021051,2011,NA,NA,NA,NA,NA,NA,NA,NA
102021052,2011,NA,NA,NA,NA,NA,NA,NA,NA
102021053,2011,NA,NA,NA,NA,NA,NA,NA,NA
102021054,2011,NA,NA,NA,NA,NA,NA,NA,NA
102021055,2011,NA,NA,NA,NA,NA,NA,NA,NA
102021056,2011,NA,NA,NA,NA,NA,NA,NA,NA
102021057,2011,NA,NA,NA,NA,NA,NA,NA,NA
103011058,2011,NA,NA,NA,NA,NA,NA,NA,NA
103011059,2011,NA,NA,NA,NA,NA,NA,NA,NA
