SA4_CODE16,Year,BP,rsBP,BC,rsBC,CS,rsCS,VD,rsVD
101,2011,NA,NA,NA,NA,NA,NA,NA,NA
102,2011,NA,NA,NA,NA,NA,NA,NA,NA
103,2011,NA,NA,NA,NA,NA,NA,NA,NA
104,2011,NA,NA,NA,NA,NA,NA,NA,NA
105,2011,NA,NA,NA,NA,NA,NA,NA,NA
106,2011,NA,NA,NA,NA,NA,NA,NA,NA
107,2011,NA,NA,NA,NA,NA,NA,NA,NA
108,2011,NA,NA,NA,NA,NA,NA,NA,NA
109,2011,NA,NA,NA,NA,NA,NA,NA,NA
110,2011,NA,NA,NA,NA,NA,NA,NA,NA
111,2011,NA,NA,NA,NA,NA,NA,NA,NA
112,2011,NA,NA,NA,NA,NA,NA,NA,NA
113,2011,NA,NA,NA,NA,NA,NA,NA,NA
114,2011,NA,NA,NA,NA,NA,NA,NA,NA
115,2011,NA,NA,NA,NA,NA,NA,NA,NA
116,2011,NA,NA,NA,NA,NA,NA,NA,NA
117,2011,NA,NA,NA,NA,NA,NA,NA,NA
118,2011,NA,NA,NA,NA,NA,NA,NA,NA
119,2011,NA,NA,NA,NA,NA,NA,NA,NA
120,2011,NA,NA,NA,NA,NA,NA,NA,NA
121,2011,NA,NA,NA,NA,NA,NA,NA,NA
122,2011,NA,NA,NA,NA,NA,NA,NA,NA
123,2011,NA,NA,NA,NA,NA,NA,NA,NA
124,2011,NA,NA,NA,NA,NA,NA,NA,NA
125,2011,NA,NA,NA,NA,NA,NA,NA,NA
126,2011,NA,NA,NA,NA,NA,NA,NA,NA
127,2011,NA,NA,NA,NA,NA,NA,NA,NA
128,2011,NA,NA,NA,NA,NA,NA,NA,NA
201,2011,NA,NA,NA,NA,NA,NA,NA,NA
202,2011,NA,NA,NA,NA,NA,NA,NA,NA
203,2011,NA,NA,NA,NA,NA,NA,NA,NA
204,2011,NA,NA,NA,NA,NA,NA,NA,NA
205,2011,NA,NA,NA,NA,NA,NA,NA,NA
206,2011,NA,NA,NA,NA,NA,NA,NA,NA
207,2011,NA,NA,NA,NA,NA,NA,NA,NA
208,2011,NA,NA,NA,NA,NA,NA,NA,NA
209,2011,NA,NA,NA,NA,NA,NA,NA,NA
210,2011,NA,NA,NA,NA,NA,NA,NA,NA
211,2011,NA,NA,NA,NA,NA,NA,NA,NA
212,2011,NA,NA,NA,NA,NA,NA,NA,NA
213,2011,NA,NA,NA,NA,NA,NA,NA,NA
214,2011,NA,NA,NA,NA,NA,NA,NA,NA
215,2011,NA,NA,NA,NA,NA,NA,NA,NA
216,2011,NA,NA,NA,NA,NA,NA,NA,NA
217,2011,NA,NA,NA,NA,NA,NA,NA,NA
301,2011,NA,NA,NA,NA,NA,NA,NA,NA
302,2011,NA,NA,NA,NA,NA,NA,NA,NA
303,2011,NA,NA,NA,NA,NA,NA,NA,NA
304,2011,NA,NA,NA,NA,NA,NA,NA,NA
305,2011,NA,NA,NA,NA,NA,NA,NA,NA
